Date;20-09-07;20-09-07;20-09-07;20-09-07;20-09-07;20-09-07;27-03-08;27-03-08;27-03-08;27-03-08;27-03-08;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;0.9;0.943;0.933;0.613;0;0.932;0.945;0.565;0.672;0.673;0;0;0
rpm;57.3;72.2;82.7;87.9;91;93.9;85.8;85.8;90.8;90.8;90.8;90.3;90.3;79.6;0;90.1;89.9;75.6;79.7;80.8;0;0;0
Tamb;28.4;28.5;28.7;29.1;29.3;29.7;26;26;26;26;26;36;34;32;0;30;36;37;37;39;0;0;0
Tscav;36;30;34;38;40;44;42;42;44;45;44;48;49;41;0;47;48;40;41;42;0;0;0
Tac1_Ain;50;110;154;180;195;212;148;149;168;168;168;205;210;150;0;200;215;149;169;175;0;0;0
Tac2_Ain;50;112;157;180;202;221;150;152;177;180;178;195;196;135;0;180;190;136;154;160;0;0;0
Tac1_Aout;25;28;32;36;38;41;39;39;42;42;42;45;46;38;0;46;45;38;38;40;0;0;0
Tac2_Aout;27;29;32;38;41;44;40;42;44;44;44;48;48;40;0;48;47;39;41;42;0;0;0
Tac1_Win;26;26;27;28;28;28;36;36;36;36;36;36;36;36;0;36;36;36;36;36;0;0;0
Tac2_Win;26;26;27;28;28;28;36;36;36;36;36;36;36;36;0;36;36;36;36;36;0;0;0
Tac1_Wout;27;33;40;45;50;54;50;50;55;55;54;57;60;46;0;54;56;45;48;48;0;0;0
Tac2_Wout;26;32;39;42;49;54;49;50;54;55;54;58;60;46;0;55;57;45;48;48;0;0;0
DP_ac1;64;114;155;175;190;205;150;150;170;180;170;195;205;145;0;200;185;115;140;130;0;0;0
DP_ac2;60;114;150;165;180;195;135;150;150;160;160;195;200;140;0;190;170;110;135;130;0;0;0
