Date;29-03-06;29-03-06;29-03-06;29-03-06;29-03-06;29-03-06;06-09-06;06-09-06;06-09-06;06-09-06;06-09-06;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.5;0.5;0.9;0.9;0.9;0.817800537;0.798837702;0.77647318;0.836955668;0.808330039;0.776544915;0.775378881;0.818224016;0.850359289;0.842114663;0.812226585;0.833248223
rpm;57.4;72.3;82.9;87.9;91;94;74.89;74.9;90.71;90.7;90.8;88.2;90.5;89.1;91.4;90.7;89.8;89.08;90.3;89.5;89.3;89.5;87.0
Tamb;7.7;8.1;8.8;9.4;9.9;10.9;35.0;35.0;34.0;35.0;35.0;31.0;24.0;31.0;26.0;41.0;34.0;37.0;41.0;37.0;38.0;35.0;32.0
Tscav;30;28;28;30;32;36;38;39;43;44;42;43;41;41;42;45;41;41;44;44;43;42;40
Tac1_Ain;22;80;125;150;170;183;105;115;175;185;180;160;155;154;160;160;170;170;175;160;175;167;150
Tac2_Ain;24;85;130;155;170;187;115;120;185;189;187;165;160;156;165;170;175;170;180;165;180;173;155
Tac1_Aout;21;22;24;25;28;32;34;35;40;41;40;38;38;36;38;42;37;38;40;40;38;38;36
Tac2_Aout;21;23;26;28;31;35;39;38;44;45;44;43;40;42;42;45;41;42;44;44;42;42;42
Tac1_Win;24;25;25;26;27;29;36;36;36;36;36;36;34;35;34;37;34;36;34;35;35;35;35
Tac2_Win;24;25;25;26;27;29;36;36;36;36;36;36;34;35;34;37;34;36;34;35;35;35;35
Tac1_Wout;25;30;33;38;42;46;43;44;56;57;57;56;51;51;52;58;52;54;60;60;58;57;52
Tac2_Wout;24;29;34;36;40;46;42;44;55;56;56;56;50;50;52;57;51;53;59;60;56;56;52
DP_ac1;63;113;155;180;195;200;115;120;185;190;190;200;190;190;210;170;190;160;185;190;190;165;170
DP_ac2;60;115;165;185;200;210;115;125;185;195;190;200;190;190;220;170;190;180;185;190;190;175;180
