Date;15-02-06;15-02-06;15-02-06;15-02-06;15-02-06;15-02-06;30-06-06;30-06-06;30-06-06;30-06-06;30-06-06;30-06-06;30-06-06;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
Load ;0.25;0.5;0.75;0.9;1;1.1;0.75;0.75;0.9;0.9;1;1;0.9;0.759;0.695;0.72;0.571;0.711;0.75;0.72;0.753;0.749;0.745;0.758;0.773
rpm;57.4;72.3;82.6;87.9;91;93.9;85.9;85.9;90.9;90.69;94.09;94.42;90.5;90.4;87.2;89.3;82.1;89.3;90.4;90.3;90.7;90.8;90.8;90.8;90.8
Tamb;10.4;10.3;10.6;10.7;10.8;10.7;34.0;36.0;35.0;35.0;35.0;35.0;36.0;31.0;18.0;31.0;24.0;42.0;28.0;35.0;36.0;36.0;40.0;36.0;33.0
Tscav;32;26;28;30;34;36;42;41;44;42;46;46;42;43;39;40;38;44;43;42;41;41;43;41;44
Tac1_Ain;33;86;133;156;175;197;175;167;195;188;210;207;190;180;155;170;135;170;170;175;180;185;175;183;177
Tac2_Ain;35;90;135;160;177;190;175;167;199;190;210;210;190;180;150;165;135;165;170;173;185;180;165;180;175
Tac1_Aout;27;26;28;31;34;37;45;44;47;46;50;50;46;43;41;43;40;46;43;42;41;41;42;41;41
Tac2_Aout;28;26;28;31;34;37;44;43;47;45;49;49;46;42;40;42;39;43;41;41;41;41;41;41;40
Tac1_Win;27;26;26;27;27;28;36;36;36;36;36;36;36;36;36;36;36;39;38;36;34;34;33;34;34
Tac2_Win;27;26;26;27;27;28;36;36;36;36;36;36;36;36;36;36;36;39;38;36;34;34;33;34;34
Tac1_Wout;29;33;41;45;50;55;53;51;58;56;63;62;56;55;50;56;52;58;60;57;50;51;51;51;52
Tac2_Wout;28;30;37;42;47;52;53;50;57;56;62;62;55;53;50;56;51;56;58;55;50;51;51;51;52
DP_ac1;65;115;155;175;195;210;180;170;200;190;205;210;195;95;90;100;160;90;95;90;90;90;90;90;180
DP_ac2;65;115;160;180;195;210;180;170;200;195;205;210;195;100;95;130;155;90;90;85;85;90;90;95;180
